"State Name";;;;;"Img Process";"Img Process";"Img Process";"Img Process"
"Step Name";;;;;"Find Primary Centre";"Find Primary Centre";"Find Ghost centre";"Find Ghost centre"
"Result Name";;;;;"Center.X Position (Pixel)";"Center.Y Position (Pixel)";"Center.X Position (Pixel)";"Center.Y Position (Pixel)"
Units;;;;;pix;pix;pix;pix
Iteration;Date;Time;"Time (milliseconds)";Status
5;2026/05/27;10:33:39,432;;Pass;1170,06909;1161,88428;1171,69885;1150,26697
5;2026/05/27;10:33:39,490;;Pass;1071,69873;1375,44617;1074,65173;1363,07434
5;2026/05/27;10:33:39,547;;Pass;945,49579;1157,29028;947,66638;1146,10742
5;2026/05/27;10:33:39,610;;Pass;1741,13062;1314,75061;1742,95544;1303,93921
5;2026/05/27;10:33:39,669;;Pass;1057,01831;1158,73547;1058,65063;1147,13745
5;2026/05/27;10:33:39,733;;Pass;963,36346;1373,25635;965,66980;1362,15515
5;2026/05/27;10:33:39,797;;Pass;1064,40051;1270,45203;1066,51624;1258,91602
5;2026/05/27;10:33:39,863;;Pass;835,61884;1157,00085;837,33563;1145,35779
5;2026/05/27;10:33:39,925;;Pass;1854,38452;1329,14502;1855,80859;1318,05908
5;2026/05/27;10:33:40,066;;Pass;1852,19507;1438,47705;1853,50317;1427,08960
5;2026/05/27;10:33:40,210;;Pass;1512,82739;1292,91785;1514,42139;1282,68872
5;2026/05/27;10:33:40,270;;Pass;1175,36047;1274,66260;1177,19287;1263,35803
5;2026/05/27;10:33:40,331;;Pass;1739,45581;1424,90833;1741,59521;1413,50085
5;2026/05/27;10:33:40,396;;Pass;1737,17847;1530,62769;1739,35681;1519,49561
5;2026/05/27;10:33:40,461;;Pass;1513,83838;1402,46045;1515,56458;1390,42358
5;2026/05/27;10:33:40,585;;Pass;1294,95728;1489,72510;1296,18799;1477,65942
5;2026/05/27;10:33:40,650;;Pass;1283,57239;1166,83447;1284,69739;1155,27368
5;2026/05/27;10:33:40,716;;Pass;1627,51526;1303,07446;1628,55750;1291,83667
5;2026/05/27;10:33:40,781;;Pass;1848,81055;1544,52600;1850,34875;1533,10107
5;2026/05/27;10:33:40,849;;Pass;1844,95715;1649,24121;1846,54248;1637,84827
5;2026/05/27;10:33:40,914;;Pass;845,39447;1265,51221;847,91400;1254,25195
5;2026/05/27;10:33:40,984;;Pass;855,15338;1372,32800;857,32843;1361,12085
5;2026/05/27;10:33:41,067;;Pass;726,36145;1157,50281;727,99902;1145,71191
5;2026/05/27;10:33:41,198;;Pass;1626,64868;1412,97900;1627,84631;1401,21448
5;2026/05/27;10:33:41,263;;Pass;1397,18140;1173,43665;1398,81921;1161,28674
5;2026/05/27;10:33:41,440;;Pass;1625,97375;1518,49609;1627,52820;1506,93115
5;2026/05/27;10:33:41,505;;Pass;1515,18274;1507,61621;1517,39453;1495,49622
5;2026/05/27;10:33:41,573;;Pass;1399,61902;1285,62598;1401,25891;1274,76257
5;2026/05/27;10:33:41,641;;Pass;748,22833;1372,65735;749,88947;1361,97351
5;2026/05/27;10:33:41,717;;Pass;1405,06152;1497,83765;1406,63489;1486,68994
5;2026/05/27;10:33:41,787;;Pass;1186,05615;1484,00635;1188,20935;1472,50903
5;2026/05/27;10:33:41,856;;Pass;737,64630;1265,76599;739,28448;1254,26025
5;2026/05/27;10:33:41,997;;Pass;1624,95605;1622,14709;1626,27661;1610,50330
5;2026/05/27;10:33:42,067;;Pass;954,78217;1266,94373;957,26428;1255,38855
5;2026/05/27;10:33:42,134;;Pass;1511,74854;1181,59473;1513,20996;1169,34802
5;2026/05/27;10:33:42,203;;Pass;1287,75391;1279,76965;1288,59875;1268,22107
5;2026/05/27;10:33:42,330;;Pass;1734,67041;1634,91235;1737,05798;1623,11353
5;2026/05/27;10:33:42,414;;Pass;1181,80518;1379,96509;1182,93909;1367,81738
5;2026/05/27;10:33:42,469;;Pass;1298,29749;1594,80457;1299,83606;1583,19971
