"State Name";;;;;"Img Process";"Img Process";"Img Process";"Img Process"
"Step Name";;;;;"Find Primary Centre";"Find Primary Centre";"Find Ghost centre";"Find Ghost centre"
"Result Name";;;;;"Center.X Position (Pixel)";"Center.Y Position (Pixel)";"Center.X Position (Pixel)";"Center.Y Position (Pixel)"
Units;;;;;pix;pix;pix;pix
Iteration;Date;Time;"Time (milliseconds)";Status
6;2026/05/27;10:33:56,441;;Pass;1104,51794;1594,82617;1105,57520;1584,28845
6;2026/05/27;10:33:56,498;;Pass;1427,40894;1602,36047;1429,06665;1591,27124
6;2026/05/27;10:33:56,559;;Pass;963,24182;1273,24438;963,99402;1262,61072
6;2026/05/27;10:33:56,618;;Pass;1643,10876;1509,82434;1644,43140;1499,15137
6;2026/05/27;10:33:56,697;;Pass;1211,87720;1595,70361;1213,02539;1584,67920
6;2026/05/27;10:33:56,743;;Pass;1421,85938;1495,88879;1423,04272;1484,58203
6;2026/05/27;10:33:56,803;;Pass;1074,77881;1272,30896;1076,33484;1260,68787
6;2026/05/27;10:33:56,866;;Pass;1531,73682;1502,30200;1532,80615;1491,78638
6;2026/05/27;10:33:56,931;;Pass;1536,76685;1607,81335;1537,95837;1596,78992
6;2026/05/27;10:33:56,993;;Pass;1759,25037;1728,58459;1759,74731;1717,43579
6;2026/05/27;10:33:57,058;;Pass;1869,83862;1740,15356;1870,70154;1728,24475
6;2026/05/27;10:33:57,122;;Pass;1415,74487;1387,26538;1416,02319;1375,43420
6;2026/05/27;10:33:57,186;;Pass;1318,79395;1598,30103;1320,47290;1587,27771
6;2026/05/27;10:33:57,251;;Pass;1311,79431;1491,46960;1313,98779;1479,98669
6;2026/05/27;10:33:57,317;;Pass;1980,91174;1753,42700;1981,98218;1741,91980
6;2026/05/27;10:33:57,383;;Pass;1095,54333;1488,05261;1097,11499;1476,53027
6;2026/05/27;10:33:57,449;;Pass;1649,30127;1719,45764;1650,84106;1708,06250
6;2026/05/27;10:33:57,521;;Pass;975,34558;1381,12415;975,75507;1369,69702
6;2026/05/27;10:33:57,589;;Pass;1981,83496;1648,39111;1982,68787;1636,68530
6;2026/05/27;10:33:57,657;;Pass;1204,00476;1489,00171;1204,12024;1477,37256
6;2026/05/27;10:33:57,724;;Pass;986,87390;1488,33057;987,80597;1476,84314
6;2026/05/27;10:33:57,793;;Pass;1527,10510;1391,69543;1527,56616;1379,44385
6;2026/05/27;10:33:57,860;;Pass;1437,41211;1808,96118;1438,85388;1797,99158
6;2026/05/27;10:33:57,927;;Pass;1296,66797;1274,76685;1298,59875;1263,21069
6;2026/05/27;10:33:58,076;;Pass;1759,81311;1833,38757;1760,80896;1822,03894
6;2026/05/27;10:33:58,144;;Pass;2092,75391;1768,00220;2093,50488;1755,97107
6;2026/05/27;10:33:58,211;;Pass;1409,32178;1277,67859;1410,17297;1265,64001
6;2026/05/27;10:33:58,280;;Pass;1647,03369;1615,52161;1648,10938;1604,11389
6;2026/05/27;10:33:58,352;;Pass;2089,39282;1871,67114;2089,83838;1859,74500
6;2026/05/27;10:33:58,422;;Pass;1304,33740;1384,26184;1306,49304;1372,12427
6;2026/05/27;10:33:58,494;;Pass;1640,15161;1397,73621;1641,04590;1385,39307
6;2026/05/27;10:33:58,566;;Pass;1978,78650;1856,95447;1979,66736;1845,85046
6;2026/05/27;10:33:58,636;;Pass;1754,55737;1405,90271;1755,08667;1394,20837
6;2026/05/27;10:33:58,711;;Pass;1976,29407;1958,63440;1977,80811;1947,80334
6;2026/05/27;10:33:58,780;;Pass;997,83038;1594,76160;998,77478;1584,01331
6;2026/05/27;10:33:58,870;;Pass;1651,36536;1823,91711;1652,71716;1812,19971
6;2026/05/27;10:33:58,923;;Pass;1983,50891;1539,29675;1984,08582;1528,65283
6;2026/05/27;10:33:59,039;;Pass;1085,29651;1381,10168;1087,59509;1368,85645
6;2026/05/27;10:33:59,112;;Pass;2095,66675;1662,67834;2096,38647;1650,85291
