"State Name";;;;;"Img Process";"Img Process";"Img Process";"Img Process"
"Step Name";;;;;"Find Primary Centre";"Find Primary Centre";"Find Ghost centre";"Find Ghost centre"
"Result Name";;;;;"Center.X Position (Pixel)";"Center.Y Position (Pixel)";"Center.X Position (Pixel)";"Center.Y Position (Pixel)"
Units;;;;;pix;pix;pix;pix
Iteration;Date;Time;"Time (milliseconds)";Status
2;2026/05/27;10:32:51,225;;Pass;1211,85681;1494,09961;1212,82910;1483,21375
2;2026/05/27;10:32:51,283;;Pass;1563,73901;1817,62708;1563,96106;1806,52588
2;2026/05/27;10:32:51,346;;Pass;1887,73230;1835,01416;1888,43616;1823,57336
2;2026/05/27;10:32:51,407;;Pass;1774,51550;1720,13257;1775,04529;1708,29919
2;2026/05/27;10:32:51,474;;Pass;1671,31873;1821,98291;1672,00757;1810,34497
2;2026/05/27;10:32:51,535;;Pass;1234,39404;1707,71667;1235,12341;1697,59436
2;2026/05/27;10:32:51,644;;Pass;1341,95557;1706,81750;1342,46997;1696,03406
2;2026/05/27;10:32:51,700;;Pass;2106,61475;1747,52991;2107,24390;1737,50305
2;2026/05/27;10:32:51,765;;Pass;1199,71472;1382,85681;1200,51636;1372,63892
2;2026/05/27;10:32:51,830;;Pass;2330,21582;1987,00720;2330,16357;1975,64746
2;2026/05/27;10:32:51,892;;Pass;1540,20959;1493,05872;1541,28833;1481,67175
2;2026/05/27;10:32:51,952;;Pass;1884,22302;1727,46387;1884,41858;1715,87830
2;2026/05/27;10:32:52,016;;Pass;1769,33594;1613,72546;1770,03015;1601,49390
2;2026/05/27;10:32:52,080;;Pass;1779,01050;1827,72583;1779,77271;1816,16736
2;2026/05/27;10:32:52,143;;Pass;1665,60522;1714,59021;1665,67590;1703,04395
2;2026/05/27;10:32:52,204;;Pass;2218,77124;1971,83557;2219,37671;1960,79517
2;2026/05/27;10:32:52,275;;Pass;1556,80127;1710,76050;1557,06067;1699,41418
2;2026/05/27;10:32:52,367;;Pass;1245,08936;1813,67688;1245,90234;1802,39990
2;2026/05/27;10:32:52,431;;Pass;1448,51025;1708,07117;1448,59119;1697,09656
2;2026/05/27;10:32:52,499;;Pass;1321,20447;1492,68689;1321,77283;1481,78552
2;2026/05/27;10:32:52,565;;Pass;1659,22742;1608,87476;1659,84070;1596,63794
2;2026/05/27;10:32:52,632;;Pass;1892,98120;2042,14526;1893,64453;2031,58923
2;2026/05/27;10:32:52,699;;Pass;1429,43689;1492,39197;1430,38916;1481,41553
2;2026/05/27;10:32:52,774;;Pass;2108,29297;1959,08997;2108,97363;1947,69824
2;2026/05/27;10:32:52,851;;Pass;1456,88074;1814,93616;1457,66382;1803,84460
2;2026/05/27;10:32:52,919;;Pass;2108,19434;1854,94653;2108,29639;1842,95349
2;2026/05/27;10:32:52,991;;Pass;1350,99622;1813,50940;1351,29333;1802,01904
2;2026/05/27;10:32:53,060;;Pass;1997,54089;1843,71582;1997,58691;1831,99243
2;2026/05/27;10:32:53,130;;Pass;1999,93176;2052,33032;2000,33093;2041,50793
2;2026/05/27;10:32:53,201;;Pass;1763,69153;1501,67957;1764,15039;1491,32056
2;2026/05/27;10:32:53,274;;Pass;2108,15771;2064,04614;2108,57031;2052,49023
2;2026/05/27;10:32:53,346;;Pass;1548,89246;1605,21082;1549,25488;1593,01563
2;2026/05/27;10:32:53,417;;Pass;1652,06812;1496,77795;1652,60803;1485,81848
2;2026/05/27;10:32:53,486;;Pass;2217,18799;2077,08203;2217,48169;2065,21948
2;2026/05/27;10:32:53,632;;Pass;1786,15295;2033,78882;1787,17590;2023,46545
2;2026/05/27;10:32:53,702;;Pass;1992,69556;1627,02368;1992,62988;1614,80212
2;2026/05/27;10:32:53,775;;Pass;1994,81299;1736,75464;1994,25745;1725,96436
2;2026/05/27;10:32:53,850;;Pass;1439,15674;1602,43579;1439,24243;1590,48730
2;2026/05/27;10:32:53,922;;Pass;1880,66272;1619,71216;1879,80811;1607,18103
