"State Name";;;;;"Img Process";"Img Process";"Img Process";"Img Process"
"Step Name";;;;;"Find Primary Centre";"Find Primary Centre";"Find Ghost centre";"Find Ghost centre"
"Result Name";;;;;"Center.X Position (Pixel)";"Center.Y Position (Pixel)";"Center.X Position (Pixel)";"Center.Y Position (Pixel)"
Units;;;;;pix;pix;pix;pix
Iteration;Date;Time;"Time (milliseconds)";Status
4;2026/05/27;10:33:15,883;;Pass;1891,96094;1389,48438;1892,79517;1378,21155
4;2026/05/27;10:33:15,944;;Pass;1779,71985;1384,01917;1780,58582;1372,38525
4;2026/05/27;10:33:16,002;;Pass;1557,43420;1378,19324;1557,99292;1366,52234
4;2026/05/27;10:33:16,062;;Pass;1204,94495;1159,78894;1205,95410;1148,51221
4;2026/05/27;10:33:16,122;;Pass;1668,81787;1380,33154;1669,24158;1368,50830
4;2026/05/27;10:33:16,191;;Pass;1318,16589;1157,20593;1317,98596;1145,51697
4;2026/05/27;10:33:16,251;;Pass;2005,33960;1396,26489;2005,30603;1384,56140
4;2026/05/27;10:33:16,313;;Pass;1428,97424;1156,92480;1429,10913;1145,44238
4;2026/05/27;10:33:16,375;;Pass;2120,00781;1512,14771;2120,59302;1500,61145
4;2026/05/27;10:33:16,437;;Pass;2233,99268;1523,08020;2233,98853;1511,38599
4;2026/05/27;10:33:16,500;;Pass;1898,09302;1600,82312;1898,93433;1589,12659
4;2026/05/27;10:33:16,564;;Pass;1447,81836;1376,07922;1448,62390;1364,88928
4;2026/05/27;10:33:16,628;;Pass;1338,39722;1375,98340;1339,44714;1364,00781
4;2026/05/27;10:33:16,691;;Pass;2349,54492;1536,64941;2349,58911;1524,74280
4;2026/05/27;10:33:16,801;;Pass;1783,77539;1488,92871;1785,09912;1477,33081
4;2026/05/27;10:33:16,866;;Pass;1217,22339;1270,00891;1218,11230;1257,83325
4;2026/05/27;10:33:16,933;;Pass;1774,88733;1275,01648;1775,51575;1262,69324
4;2026/05/27;10:33:17,000;;Pass;2343,24707;1746,80115;2343,46118;1735,01086
4;2026/05/27;10:33:17,065;;Pass;1541,75671;1158,08948;1542,37122;1146,15369
4;2026/05/27;10:33:17,131;;Pass;1787,89172;1593,96460;1788,84192;1582,33191
4;2026/05/27;10:33:17,199;;Pass;1655,64233;1160,17554;1656,28577;1147,75452
4;2026/05/27;10:33:17,317;;Pass;1328,26538;1268,29797;1328,88660;1255,49292
4;2026/05/27;10:33:17,383;;Pass;1456,62366;1479,88086;1456,71375;1468,32166
4;2026/05/27;10:33:17,455;;Pass;1229,24255;1377,72351;1229,50928;1366,00464
4;2026/05/27;10:33:17,535;;Pass;1895,04358;1495,23181;1896,28247;1483,50610
4;2026/05/27;10:33:17,604;;Pass;1679,40723;1588,30115;1680,07629;1577,02026
4;2026/05/27;10:33:17,672;;Pass;1769,46680;1163,77881;1769,72290;1151,49207
4;2026/05/27;10:33:17,741;;Pass;1550,06177;1268,44031;1550,40271;1256,03735
4;2026/05/27;10:33:17,809;;Pass;1564,66052;1481,33997;1565,05603;1469,66931
4;2026/05/27;10:33:17,879;;Pass;2235,18018;1415,73730;2234,98828;1403,55957
4;2026/05/27;10:33:17,949;;Pass;1674,11670;1484,60522;1674,29614;1472,90234
4;2026/05/27;10:33:18,019;;Pass;1347,97314;1479,32129;1348,15198;1467,84888
4;2026/05/27;10:33:18,089;;Pass;2006,86987;1502,99780;2006,84009;1490,44495
4;2026/05/27;10:33:18,161;;Pass;2351,15430;1428,32361;2351,43286;1416,30920
4;2026/05/27;10:33:18,231;;Pass;2120,15308;1619,16663;2121,26733;1605,56824
4;2026/05/27;10:33:18,385;;Pass;1662,36218;1271,11377;1662,69104;1258,63635
4;2026/05/27;10:33:18,457;;Pass;2008,46887;1609,21338;2008,54858;1597,14124
4;2026/05/27;10:33:18,527;;Pass;1571,12756;1584,44092;1572,05420;1573,41370
4;2026/05/27;10:33:18,596;;Pass;2119,98047;1405,19958;2119,97339;1393,05420
